統計区・町丁名,世帯数,人口,男,女,年,月
額谷町,70.0,200.0,92,108,2012,1
四十万町,760.0,2121.0,1020,1101,2012,1
三十苅町,700.0,1762.0,849,913,2012,1
額乙丸町,536.0,1419.0,661,758,2012,1
大額町,113.0,268.0,127,141,2012,1
額谷町,70.0,199.0,92,107,2012,2
四十万町,760.0,2119.0,1018,1101,2012,2
三十苅町,699.0,1765.0,849,916,2012,2
額乙丸町,539.0,1424.0,664,760,2012,2
大額町,112.0,266.0,126,140,2012,2
額谷町,70.0,199.0,92,107,2012,3
四十万町,760.0,2122.0,1019,1103,2012,3
三十苅町,695.0,1761.0,848,913,2012,3
額乙丸町,539.0,1431.0,664,767,2012,3
大額町,112.0,266.0,126,140,2012,3
額谷町,70.0,198.0,92,106,2012,4
四十万町,762.0,2127.0,1020,1107,2012,4
三十苅町,698.0,1764.0,849,915,2012,4
額乙丸町,542.0,1437.0,669,768,2012,4
大額町,112.0,268.0,127,141,2012,4
額谷町,70.0,199.0,92,107,2012,5
四十万町,764.0,2130.0,1024,1106,2012,5
三十苅町,696.0,1750.0,843,907,2012,5
額乙丸町,538.0,1430.0,667,763,2012,5
大額町,114.0,273.0,129,144,2012,5
額谷町,70.0,199.0,92,107,2013,1
四十万町,767.0,2138.0,1027,1111,2013,1
三十苅町,698.0,1754.0,843,911,2013,1
額乙丸町,535.0,1426.0,668,758,2013,1
大額町,114.0,273.0,129,144,2013,1
額谷町,69.0,197.0,91,106,2013,2
四十万町,766.0,2132.0,1027,1105,2013,2
三十苅町,697.0,1748.0,841,907,2013,2
額乙丸町,539.0,1431.0,674,757,2013,2
大額町,114.0,274.0,129,145,2013,2
額谷町,70.0,202.0,94,108,2013,3
四十万町,770.0,2144.0,1032,1112,2013,3
三十苅町,693.0,1737.0,834,903,2013,3
額乙丸町,534.0,1416.0,667,749,2013,3
大額町,113.0,273.0,129,144,2013,3
額谷町,70.0,201.0,94,107,2013,4
四十万町,773.0,2143.0,1034,1109,2013,4
三十苅町,692.0,1730.0,831,899,2013,4
額乙丸町,537.0,1415.0,667,748,2013,4
大額町,113.0,271.0,129,142,2013,4
額谷町,70.0,202.0,94,108,2013,5
四十万町,774.0,2137.0,1029,1108,2013,5
三十苅町,696.0,1734.0,831,903,2013,5
額乙丸町,536.0,1413.0,670,743,2013,5
大額町,115.0,273.0,131,142,2013,5
額谷町,70.0,201.0,94,107,2013,6
四十万町,780.0,2143.0,1029,1114,2013,6
三十苅町,696.0,1737.0,833,904,2013,6
額乙丸町,540.0,1414.0,669,745,2013,6
大額町,115.0,273.0,131,142,2013,6
額谷町,69.0,199.0,93,106,2013,7
四十万町,782.0,2145.0,1032,1113,2013,7
三十苅町,696.0,1734.0,831,903,2013,7
額乙丸町,535.0,1403.0,667,736,2013,7
大額町,116.0,275.0,132,143,2013,7
額谷町,69.0,198.0,93,105,2013,8
四十万町,782.0,2146.0,1036,1110,2013,8
三十苅町,701.0,1736.0,831,905,2013,8
額乙丸町,537.0,1408.0,670,738,2013,8
大額町,116.0,273.0,130,143,2013,8
額谷町,69.0,198.0,93,105,2013,9
四十万町,778.0,2138.0,1036,1102,2013,9
三十苅町,702.0,1733.0,831,902,2013,9
額乙丸町,568.0,1442.0,698,744,2013,9
大額町,116.0,272.0,129,143,2013,9
